Series Name,Series Code,Time,Time Code,Argentina [ARG],Bolivia [BOL],Brazil [BRA],Colombia [COL]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,YR1978,-4.5061247976757,2.05269457150823,3.23170957296952,8.46344999947392
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,YR1977,6.93414776273241,4.97121565455376,4.60631806293597,4.14801343897298
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,YR1976,-2.01825153277618,4.61456748557387,9.79041016246347,4.81718726879082
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,YR1975,-0.0284120882711392,7.31101772689942,5.20907590194078,2.24804705945083
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,YR1974,5.53380440143016,2.93956781590916,9.04212030845288,5.74252210855457
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,YR1973,2.81175403997467,5.73916152301213,13.9786916357584,6.72748176042239
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,YR1972,1.62841649943542,7.96748521281012,12.05280227318,7.67341468205498
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,YR1971,5.65813108050457,5.06333643455241,11.2950868449659,5.95122309893664
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,YR1970,3.04564334084789,-0.494821089404311,8.76994747088169,6.95651509881007
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,YR2000,1.03728708352114,5.19540438471893,6.17783977152561,31.7613475924573
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2001,YR2001,-1.09576770277295,1.87009470473087,8.96617968222513,6.51844829202277
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2002,YR2002,30.555204041157,2.82075746204183,10.5558053299861,5.96819057297378
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2003,YR2003,10.4957030340619,6.32999204666706,13.7264756228104,6.82901484183557
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2004,YR2004,9.22062787639337,7.96770868570056,8.03621729556485,7.28303340696263
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2005,YR2005,8.84047577818971,5.94079725957029,7.2129980528486,5.55754121691436
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2006,YR2006,13.4262312791228,13.663679851124,6.1514401780052,5.77509106238531
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2007,YR2007,14.2582803992278,7.37335357567221,5.86453013404761,5.03975733215947
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2008,YR2008,19.0684503177015,10.381182075414,8.33494971189018,7.55569950745669
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2009,YR2009,9.97745827569562,-2.41989419062934,7.18514646819382,3.40790693238088
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2010,YR2010,15.3761723596004,8.77750813085285,8.22853505779051,3.85625889520473
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2011,YR2011,17.280498146093,14.5658915089158,6.96888475196906,6.9654966437113
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2012,YR2012,15.3026710519536,6.91459702197162,5.34473335407317,2.57323270966228
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2013,YR2013,,,,
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1999,YR1999,-1.83655838005464,2.41156571840125,8.4764492639447,12.6229408341707
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1998,YR1998,-1.70527964063267,7.05112782982312,4.23590353372867,14.7730454087342
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1997,YR1997,-0.46391311906163,5.70504250779649,7.64500285513216,16.839852933651
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1996,YR1996,-0.0523754976274091,11.5802088728899,17.0852691693493,16.8683787898016
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1995,YR1995,3.16512339082666,11.4272813255458,93.5220043412646,18.8509572578649
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1994,YR1994,2.84933971635995,7.95220823835035,2251.70402771046,45.3570614626908
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1993,YR1993,-1.46665994920738,6.55715768505685,2001.34819196195,27.9535400113736
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1992,YR1992,11.9207602419531,13.1992041153703,968.184232897556,22.2259545918177
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1991,YR1991,132.953228142774,17.6894429635243,414.235595762797,26.1878140869884
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1990,YR1990,2076.79347322213,16.2679376931499,2735.48846059094,26.1051392222947
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1989,YR1989,3057.62883567321,13.186429735315,1209.12132844397,24.6818006481094
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1988,YR1988,388.491338958764,17.5233280938173,651.113855642984,27.7553993181845
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1987,YR1987,127.086376406594,14.5841958966761,204.103424999804,23.3739219120934
